,UoM_Wireless1,UoM_Wireless6,Chamidi11,FGS_Office1,NipunaM6,Becon_Wireless1,Sandali1,UoM_Wireless11,eduroam1,eduroam6,IsuruAp6,eduroam11,Jungle Book10,PROLINK_H5004NK_8766E11,UNIC-wifi11,id
0,-89,-100,-70,-86,-63,-93,-66,-100,-87,-100,-100.0,-100,-100,-100,-87,2
1,-93,-100,-70,-91,-71,-93,-62,-100,-87,-100,,-100,-100,-100,-86,2
2,-94,-100,-72,-86,-55,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
3,-93,-100,-70,-86,-65,-93,-60,-100,-87,-100,,-100,-100,-100,-87,2
4,-86,-100,-72,-86,-68,-93,-58,-100,-82,-100,,-100,-100,-100,-90,2
5,-91,-100,-75,-84,-67,-86,-59,-100,-86,-100,,-100,-100,-100,-86,2
6,-91,-100,-73,-90,-65,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
7,-89,-100,-71,-86,-66,-93,-59,-100,-87,-100,,-100,-100,-100,-85,2
8,-93,-100,-71,-86,-65,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
9,-93,-100,-83,-86,-68,-89,-59,-100,-87,-100,,-100,-100,-100,-86,2
10,-92,-100,-66,-86,-69,-90,-59,-100,-87,-100,,-100,-100,-100,-86,2
11,-92,-100,-69,-86,-68,-93,-59,-100,-87,-100,,-100,-100,-100,-89,2
12,-93,-100,-70,-86,-67,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
13,-93,-100,-71,-86,-68,-93,-59,-100,-87,-100,,-100,-100,-100,-89,2
14,-92,-100,-70,-89,-66,-91,-59,-100,-83,-100,,-100,-100,-100,-86,2
15,-93,-100,-73,-86,-67,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
16,-93,-100,-70,-86,-69,-93,-59,-100,-94,-100,,-100,-100,-100,-86,2
17,-93,-100,-71,-90,-65,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
18,-89,-100,-70,-86,-71,-93,-59,-100,-87,-100,,-100,-100,-100,-89,2
19,-91,-100,-75,-86,-69,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
20,-97,-100,-70,-86,-66,-93,-59,-100,-87,-100,,-100,-100,-100,-89,2
21,-93,-100,-70,-86,-66,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
22,-91,-100,-83,-86,-65,-93,-59,-100,-87,-100,,-100,-100,-100,-89,2
23,-88,-100,-69,-91,-66,-93,-59,-100,-89,-100,,-100,-100,-100,-86,2
24,-94,-100,-72,-86,-65,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
25,-93,-100,-70,-86,-67,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
26,-92,-100,-69,-86,-71,-93,-59,-100,-89,-100,,-100,-100,-100,-86,2
27,-93,-100,-66,-86,-61,-93,-59,-100,-87,-100,,-100,-100,-100,-88,2
28,-93,-100,-67,-92,-63,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
29,-91,-100,-64,-86,-77,-93,-59,-100,-87,-100,,-100,-100,-100,-87,2
30,-88,-100,-72,-86,-75,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
31,-93,-100,-69,-86,-72,-93,-59,-100,-87,-100,,-100,-100,-100,-88,2
32,-93,-100,-70,-86,-73,-93,-59,-100,-87,-100,,-100,-100,-100,-88,2
33,-96,-100,-70,-86,-71,-93,-59,-100,-95,-100,,-100,-100,-100,-86,2
34,-93,-100,-70,-86,-71,-93,-59,-100,-87,-100,,-100,-100,-100,-88,2
35,-92,-100,-73,-86,-71,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
36,-93,-100,-85,-86,-71,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
37,-94,-100,-83,-86,-72,-93,-59,-100,-90,-100,,-100,-100,-100,-86,2
38,-92,-100,-72,-86,-72,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
39,-93,-100,-70,-86,-73,-93,-59,-100,-87,-100,,-100,-100,-100,-90,2
40,-93,-100,-67,-86,-69,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
41,-91,-100,-70,-86,-72,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
42,-89,-100,-70,-86,-77,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
43,-93,-100,-70,-86,-73,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
44,-90,-100,-67,-86,-70,-93,-59,-100,-87,-100,,-100,-100,-100,-85,2
45,-93,-100,-72,-86,-69,-90,-59,-100,-87,-100,,-100,-100,-100,-86,2
46,-93,-100,-71,-86,-81,-93,-59,-100,-89,-100,,-100,-100,-100,-88,2
47,-91,-100,-71,-86,-72,-93,-59,-100,-87,-100,,-100,-100,-100,-84,2
48,-93,-100,-71,-86,-77,-93,-59,-100,-87,-100,,-100,-100,-100,-89,2
49,-93,-100,-69,-86,-74,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
50,-89,-100,-70,-86,-75,-93,-59,-100,-87,-100,,-100,-100,-100,-85,2
